time,temperature,humidity,windspeed,city,THI,date
2024-06-09T00:00,20.6,99,3.3,温州,20.56645,2024-06-09
2024-06-09T01:00,21.2,97,2.4,温州,21.08945,2024-06-09
2024-06-09T02:00,21.4,96,1.5,温州,21.248199999999997,2024-06-09
2024-06-09T03:00,21.0,98,1.8,温州,20.9285,2024-06-09
2024-06-09T04:00,21.0,98,1.8,温州,20.9285,2024-06-09
2024-06-09T05:00,21.0,98,1.5,温州,20.9285,2024-06-09
2024-06-09T06:00,21.5,94,0.5,温州,21.269,2024-06-09
2024-06-09T07:00,22.8,86,0.0,温州,22.1609,2024-06-09
2024-06-09T08:00,22.9,86,3.1,温州,22.2532,2024-06-09
2024-06-09T09:00,22.0,95,1.8,温州,21.79375,2024-06-09
2024-06-09T10:00,23.1,92,4.0,温州,22.721600000000002,2024-06-09
2024-06-09T11:00,23.2,90,5.8,温州,22.7215,2024-06-09
2024-06-09T12:00,24.0,84,6.4,温州,23.164,2024-06-09
2024-06-09T13:00,24.5,82,8.7,温州,23.509999999999998,2024-06-09
2024-06-09T14:00,24.8,81,10.2,温州,23.72365,2024-06-09
2024-06-09T15:00,24.7,82,9.4,温州,23.690199999999997,2024-06-09
2024-06-09T16:00,24.7,81,9.4,温州,23.6341,2024-06-09
2024-06-09T17:00,24.1,83,9.1,温州,23.2024,2024-06-09
2024-06-09T18:00,23.5,86,7.9,温州,22.807,2024-06-09
2024-06-09T19:00,22.6,89,5.6,温州,22.10995,2024-06-09
2024-06-09T20:00,22.0,94,3.3,温州,21.7525,2024-06-09
2024-06-09T21:00,21.8,94,5.0,温州,21.5591,2024-06-09
2024-06-09T22:00,21.7,95,3.7,温州,21.502,2024-06-09
2024-06-09T23:00,21.6,96,2.9,温州,21.4438,2024-06-09
2024-06-10T00:00,21.5,97,3.3,温州,21.3845,2024-06-10
2024-06-10T01:00,21.4,98,1.4,温州,21.324099999999998,2024-06-10
2024-06-10T02:00,21.4,98,1.8,温州,21.324099999999998,2024-06-10
2024-06-10T03:00,21.3,98,1.8,温州,21.2252,2024-06-10
2024-06-10T04:00,21.3,98,2.2,温州,21.2252,2024-06-10
2024-06-10T05:00,21.3,98,3.0,温州,21.2252,2024-06-10
2024-06-10T06:00,21.5,97,3.0,温州,21.3845,2024-06-10
2024-06-10T07:00,21.9,96,1.5,温州,21.737199999999998,2024-06-10
2024-06-10T08:00,22.8,94,2.1,温州,22.5261,2024-06-10
2024-06-10T09:00,23.1,95,1.5,温州,22.863500000000002,2024-06-10
2024-06-10T10:00,23.8,92,3.2,温州,23.390800000000002,2024-06-10
2024-06-10T11:00,24.5,90,5.2,温州,23.95,2024-06-10
2024-06-10T12:00,24.5,91,7.4,温州,24.005,2024-06-10
2024-06-10T13:00,23.9,96,8.7,温州,23.693199999999997,2024-06-10
2024-06-10T14:00,23.6,96,7.8,温州,23.399800000000003,2024-06-10
2024-06-10T15:00,23.6,96,6.5,温州,23.399800000000003,2024-06-10
2024-06-10T16:00,23.5,97,5.9,温州,23.3515,2024-06-10
2024-06-10T17:00,23.0,98,6.1,温州,22.9065,2024-06-10
2024-06-10T18:00,22.9,98,4.2,温州,22.807599999999997,2024-06-10
2024-06-10T19:00,22.9,96,2.6,温州,22.7152,2024-06-10
2024-06-10T20:00,22.5,98,3.4,温州,22.412,2024-06-10
2024-06-10T21:00,23.0,93,1.5,温州,22.67275,2024-06-10
2024-06-10T22:00,22.4,96,3.0,温州,22.2262,2024-06-10
2024-06-10T23:00,22.0,98,4.0,温州,21.9175,2024-06-10
2024-06-11T00:00,22.8,93,0.7,温州,22.48045,2024-06-11
2024-06-11T01:00,22.6,94,2.3,温州,22.332700000000003,2024-06-11
2024-06-11T02:00,22.6,95,2.8,温州,22.37725,2024-06-11
2024-06-11T03:00,22.5,95,1.8,温州,22.28,2024-06-11
2024-06-11T04:00,22.4,95,2.2,温州,22.18275,2024-06-11
2024-06-11T05:00,22.2,96,1.5,温州,22.0306,2024-06-11
2024-06-11T06:00,22.2,97,4.3,温州,22.07295,2024-06-11
2024-06-11T07:00,23.2,93,2.1,温州,22.86505,2024-06-11
2024-06-11T08:00,24.2,88,1.5,温州,23.5598,2024-06-11
2024-06-11T09:00,24.9,87,2.5,温州,24.156399999999998,2024-06-11
